X,Y,LAST_YEAR,AADT_ALLVE
2443658.301,2371634.314,2009,6100
2683640.322,2586935.368,2013,1000
2504943.41,2400817.345,2001,6400
2475796.675,2592793.452,,
2344994.731,2455483.189,,
2506141.921,2424792.458,2020,31000
2512432.086,2399048.786,2011,21000
2514199.655,2399747.488,2020,30000
2502752.28,2407047.246,,
2451959.697,2427826.08,,
2515573.535,2409770.73,2020,31000
2493877.121,2408436.682,,
2485818.496,2420220.209,,
2500052.305,2418994.725,2020,12000
2425534.125,2434388.655,,
2487856.903,2411302.544,,
2471875.496,2400837.729,2020,18000
2514663.635,2392047.083,2005,8500
2509582.83,2365280.653,2000,17000
2524662.476,2366644.094,,
2527329.732,2388424.26,,
2510102.018,2423628.824,2000,18000
2510156.167,2396995.749,,
2521663.005,2388664.346,,
2608090.228,2293605.918,2012,280
2500008.359,2403886.107,2020,11000
2497161.701,2409206.57,2011,15000
2493976.649,2422994.91,,
2511905.047,2416546.912,,
2344994.731,2455483.189,,
2517246.756,2390014.31,,
2480420.182,2416534.599,2020,21000
2510777.568,2422277.379,1998,3700
2152410.88,2563702.198,,
2500618.406,2420527.271,2020,13000
2520016.038,2410070.958,2001,7000
2482663.597,2407207.048,2017,89000
2464611.775,2394852.458,,
2523783.051,2410143.424,2020,9100
2512905.612,2391202.002,,
2508653.01,2407284.589,2007,10000
2504613.005,2405433.876,2013,7000
2495355.492,2410997.766,2020,6600
2510450.603,2415936.171,2004,1700
2477872.381,2412501.774,2013,29000
2155296.649,2494231.037,,
2497642.009,2410364.904,2020,8500
2495805.514,2410196.062,,
2485735.17,2410537.798,2017,
2520018.211,2409643.929,,
2496915.798,2409205.127,,
2436065.269,2503051.506,,
2516456.758,2392755.199,2020,7800
2492508.797,2413515.446,,
2512065.645,2393390.554,,
2582582.289,2328257.065,2000,
2398395.272,2439163.024,,
2439164.934,2350946.607,,
2487857.052,2411303.634,,
2491092.917,2410798.176,,
2398395.272,2439163.024,,
2520007.419,2407625.633,2020,
2499539.867,2401945.667,,
2518237.88,2390261.192,,
2403814.344,2318202.193,,
2436798.035,2361898.921,2013,4400
2515678.068,2410857.364,2008,16000
2626939.345,2361546.923,2013,12000
2495534.269,2410671.938,2000,3500
2495015.417,2410825.932,2019,8000
2912088.606,2435958.631,2011,30
2485005.534,2414399.925,1992,11000
2482562.479,2422209.509,2011,3700
2462591.486,2369711.168,2012,3700
2629610.697,2364106.855,2013,11000
2500072.883,2404343.464,2020,11000
2396369.781,2426783.461,2013,1300
2516572.997,2407179.491,2020,4600
2795364.254,2411206.248,,
2518454.889,2394416.399,2000,
2596899.749,2398228.599,2013,30
2522200.585,2366306.943,,
2526641.797,2384116.946,2000,8500
2427623.752,2434080.319,,
2516087.985,2382222.341,2019,38000
2583218.865,2327963.967,,
2509015.243,2385993.855,,
2667807.992,2597361.404,,
2495795.27,2410642.061,2011,1200
2512893.311,2420244.55,2020,14000
2651070.368,2550980.872,,
2494920.73,2426103.895,,
2398839.793,2437124.194,,
2500489.068,2397738.321,,
2474430.031,2432119.796,,
2194036.711,2354087.571,,
2515692.056,2527247.857,,
2505890.517,2415894.013,,
2439164.934,2350946.607,,
2504219.842,2402668.706,,
2478939.896,2403413.359,,
2498265.194,2423428.601,2017,82000
