Sex,Age,5-year Age/Sex group,15-year Age/Sex group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Persons,55,Persons - 55 to 59,Persons - 45 to 59,"69,084","69,497","71,226","73,184","74,601","77,201","77,660","78,469","78,041","76,920","75,913","75,672","78,468","82,141","82,817","88,061","86,965","83,859","83,188","82,495","81,804","82,261","83,769","86,410","89,102","94,107","97,779","101,808","103,266","106,059","107,746","108,915","111,003","112,892","116,011","117,560","117,559","119,428","121,460","123,865","123,781"
Persons,56,Persons - 55 to 59,Persons - 45 to 59,"66,627","69,120","69,561","71,290","73,074","74,815","77,132","77,556","78,555","78,412","76,088","75,462","75,777","78,484","81,896","82,673","87,921","86,852","83,768","83,095","82,406","81,725","82,184","83,687","86,326","89,011","94,003","97,663","101,681","103,137","105,919","107,605","108,773","110,855","112,747","115,862","117,412","117,417","119,281","121,308","123,710"
Persons,57,Persons - 55 to 59,Persons - 45 to 59,"64,540","66,577","69,185","69,481","71,380","73,070","74,668","76,942","77,589","79,153","77,281","75,610","75,537","75,788","78,236","81,726","82,523","87,774","86,721","83,659","82,984","82,300","81,630","82,092","83,590","86,226","88,903","93,882","97,528","101,535","102,991","105,760","107,446","108,612","110,689","112,584","115,693","117,246","117,256","119,115","121,138"
Persons,58,Persons - 55 to 59,Persons - 45 to 59,"63,802","64,536","66,455","69,154","69,471","71,562","73,059","74,432","76,892","78,028","78,044","76,752","75,658","75,516","75,541","78,060","81,549","82,367","87,608","86,569","83,531","82,855","82,177","81,517","81,983","83,476","86,108","88,777","93,741","97,373","101,370","102,825","105,583","107,268","108,432","110,503","112,401","115,505","117,059","117,075","118,930"
Persons,59,Persons - 55 to 59,Persons - 45 to 59,"61,580","63,784","64,403","66,266","69,072","69,474","71,430","72,890","74,325","77,207","77,040","77,415","76,768","75,613","75,250","75,365","77,880","81,369","82,195","87,424","86,401","83,387","82,711","82,039","81,391","81,860","83,347","85,975","88,635","93,584","97,203","101,189","102,643","105,389","107,073","108,235","110,301","112,201","115,300","116,855","116,877"
Persons,60,Persons - 60 to 64,Persons - 60 to 74,"60,674","61,571","63,676","64,305","66,074","69,097","69,404","71,109","72,945","74,811","76,078","76,413","77,392","76,691","75,329","75,048","75,183","77,694","81,170","82,005","87,221","86,213","83,225","82,549","81,885","81,248","81,720","83,200","85,824","88,475","93,409","97,014","100,989","102,442","105,176","106,859","108,020","110,080","111,983","115,075","116,633"
Persons,61,Persons - 60 to 64,Persons - 60 to 74,"59,534","60,771","61,655","63,629","64,227","65,899","68,835","69,158","70,994","73,601","73,543","75,412","76,375","77,289","76,398","75,119","74,853","75,007","77,502","80,966","81,808","87,011","86,019","83,056","82,382","81,725","81,099","81,573","83,048","85,666","88,310","93,228","96,820","100,783","102,235","104,956","106,640","107,799","109,854","111,759","114,845"
Persons,62,Persons - 60 to 64,Persons - 60 to 74,"57,699","59,529","60,891","61,570","63,452","64,090","65,819","68,340","69,099","71,546","72,464","72,852","75,340","76,241","76,962","76,157","74,897","74,645","74,808","77,288","80,738","81,588","86,776","85,801","82,864","82,192","81,542","80,927","81,404","82,873","85,487","88,123","93,024","96,602","100,552","102,003","104,713","106,395","107,553","109,603","111,510"
Persons,63,Persons - 60 to 64,Persons - 60 to 74,"58,655","57,734","59,565","60,895","61,508","63,288","63,873","65,451","68,119","69,760","70,194","71,779","72,723","75,148","75,870","76,660","75,880","74,639","74,391","74,563","77,027","80,463","81,320","86,492","85,534","82,626","81,956","81,313","80,710","81,190","82,653","85,263","87,890","92,774","96,336","100,273","101,723","104,420","106,102","107,259","109,303"
Persons,64,Persons - 60 to 64,Persons - 60 to 74,"61,035","58,579","57,750","59,520","60,988","61,534","63,018","63,475","65,374","68,579","68,373","69,448","71,554","72,460","74,715","75,502","76,303","75,548","74,316","74,073","74,254","76,702","80,123","80,988","86,142","85,202","82,322","81,655","81,020","80,428","80,913","82,372","84,975","87,593","92,458","96,005","99,927","101,376","104,061","105,742","106,898"
