Sex,Age,5-year Age/Sex group,15-year Age/Sex group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Males,15,Males - 15 to 19,Males - 15 to 29,"34,808","35,144","35,201","35,302","35,220","35,861","35,662","36,326","37,182","37,604","38,813","40,965","42,395","43,108","43,791","43,695","44,785","45,804","45,826","45,814","46,737","45,818","45,469","45,223","44,930","45,732","45,872","47,188","48,323","49,243","49,715","50,247","50,728","51,138","51,614","52,196","52,806","53,453","54,144","54,876","55,624"
Males,16,Males - 15 to 19,Males - 15 to 29,"35,777","35,518","35,869","36,010","36,166","36,119","36,536","36,306","36,847","37,395","37,592","39,052","42,698","43,855","44,431","45,130","45,044","46,140","47,156","47,179","47,169","48,090","47,172","46,821","46,583","46,286","47,090","47,249","48,552","49,689","50,612","51,085","51,620","52,102","52,514","52,992","53,576","54,188","54,837","55,530","56,264"
Males,17,Males - 15 to 19,Males - 15 to 29,"36,269","36,713","36,468","36,762","37,002","37,216","37,110","37,435","37,027","37,222","37,309","37,924","41,100","44,414","45,426","46,012","46,725","46,651","47,742","48,757","48,780","48,772","49,694","48,776","48,423","48,194","47,890","48,697","48,875","50,165","51,307","52,233","52,709","53,246","53,732","54,145","54,626","55,211","55,826","56,478","57,173"
Males,18,Males - 15 to 19,Males - 15 to 29,"36,782","37,587","38,161","38,353","38,643","39,271","39,370","39,649","40,061","38,287","37,170","38,387","40,300","43,083","46,169","47,214","47,816","48,544","48,471","49,559","50,572","50,595","50,591","51,512","50,596","50,240","50,017","49,706","50,516","50,713","51,994","53,140","54,071","54,550","55,090","55,577","55,994","56,476","57,065","57,682","58,337"
Males,19,Males - 15 to 19,Males - 15 to 29,"38,022","38,157","39,517","40,949","41,016","41,654","42,023","42,572","43,439","42,108","37,936","39,567","41,097","42,556","44,967","48,125","49,190","49,810","50,543","50,472","51,555","52,566","52,590","52,589","53,511","52,595","52,233","52,016","51,697","52,508","52,732","54,000","55,152","56,086","56,568","57,111","57,602","58,020","58,506","59,097","59,717"
Males,20,Males - 20 to 24,Males - 15 to 29,"40,091","39,451","39,842","41,869","43,366","43,498","43,722","44,195","44,805","44,310","40,943","40,878","42,613","43,617","44,563","47,095","50,271","51,358","51,983","52,721","52,652","53,729","54,738","54,764","54,766","55,688","54,769","54,398","54,188","53,859","54,678","54,929","56,185","57,342","58,280","58,765","59,311","59,805","60,226","60,713","61,308"
Males,21,Males - 20 to 24,Males - 15 to 29,"42,211","41,376","41,030","41,835","43,918","45,625","45,161","45,660","45,954","45,110","42,580","43,497","44,304","45,437","45,780","46,900","49,459","52,657","53,754","54,386","55,130","55,062","56,134","57,141","57,168","57,175","58,091","57,167","56,787","56,583","56,249","57,076","57,360","58,603","59,767","60,710","61,198","61,748","62,245","62,669","63,160"
Males,22,Males - 20 to 24,Males - 15 to 29,"42,556","43,392","42,939","42,930","43,849","46,246","48,167","48,213","48,581","46,778","43,148","44,589","47,265","47,405","47,718","48,273","49,429","52,017","55,223","56,331","56,970","57,719","57,654","58,720","59,726","59,755","59,759","60,670","59,739","59,348","59,158","58,819","59,655","59,973","61,201","62,372","63,321","63,812","64,367","64,868","65,294"
Males,23,Males - 20 to 24,Males - 15 to 29,"42,892","43,553","45,069","45,188","45,243","46,743","49,809","51,877","51,898","49,921","44,352","44,872","48,405","50,392","49,603","50,156","50,742","51,936","54,537","57,751","58,869","59,515","60,271","60,209","61,269","62,273","62,296","62,298","63,202","62,265","61,870","61,695","61,349","62,194","62,548","63,759","64,938","65,892","66,387","66,946","67,450"
Males,24,Males - 20 to 24,Males - 15 to 29,"43,268","43,916","44,833","46,626","46,966","47,582","49,471","52,568","54,455","52,412","46,839","45,887","48,430","51,325","52,302","51,787","52,357","52,975","54,189","56,803","60,024","61,153","61,807","62,569","62,509","63,563","64,558","64,576","64,575","65,473","64,536","64,136","63,974","63,621","64,474","64,864","66,058","67,244","68,203","68,701","69,263"
Males,25,Males - 25 to 29,Males - 15 to 29,"43,260","43,954","45,133","45,764","47,764","48,452","49,272","51,245","53,748","53,790","48,712","48,089","49,184","51,140","52,962","54,235","53,737","54,326","54,955","56,188","58,814","62,044","63,183","63,845","64,614","64,556","65,597","66,584","66,595","66,591","67,490","66,551","66,146","65,997","65,635","66,497","66,923","68,098","69,290","70,254","70,754"
Males,26,Males - 25 to 29,Males - 15 to 29,"43,354","44,095","44,881","46,064","46,794","49,052","50,008","50,684","52,242","53,046","50,015","49,569","50,951","51,522","52,335","54,491","55,770","55,293","55,879","56,518","57,766","60,399","63,629","64,778","65,446","66,220","66,159","67,188","68,165","68,171","68,172","69,069","68,132","67,723","67,586","67,219","68,087","68,546","69,701","70,897","71,864"
Males,27,Males - 25 to 29,Males - 15 to 29,"42,953","44,251","45,231","45,686","47,139","47,996","50,377","51,216","51,502","51,852","49,810","50,900","52,165","53,051","52,436","53,622","55,789","57,077","56,597","57,178","57,828","59,090","61,730","64,962","66,119","66,793","67,567","67,502","68,520","69,486","69,494","69,497","70,392","69,456","69,043","68,918","68,544","69,418","69,910","71,044","72,244"
Males,28,Males - 25 to 29,Males - 15 to 29,"43,082","43,760","45,094","46,007","46,573","48,570","49,205","51,367","52,218","51,388","49,324","50,594","53,279","54,090","53,791","53,575","54,777","56,959","58,232","57,748","58,326","58,985","60,262","62,910","66,144","67,310","67,985","68,758","68,689","69,695","70,658","70,666","70,672","71,564","70,629","70,211","70,097","69,716","70,596","71,120","72,233"
Males,29,Males - 25 to 29,Males - 15 to 29,"41,934","44,014","44,712","45,716","46,848","47,764","49,589","50,257","52,240","52,295","49,217","50,117","52,789","55,063","54,796","54,842","54,668","55,887","58,061","59,319","58,833","59,407","60,076","61,368","64,023","67,260","68,429","69,105","69,878","69,806","70,807","71,766","71,774","71,783","72,673","71,737","71,315","71,212","70,825","71,710","72,265"
Males,30,Males - 30 to 34,Males - 30 to 44,"41,079","42,871","44,952","45,471","46,537","48,002","48,927","50,450","51,186","52,328","50,555","49,981","52,140","54,429","55,740","55,779","55,848","55,714","56,929","59,094","60,339","59,851","60,422","61,101","62,408","65,070","68,305","69,478","70,154","70,928","70,857","71,854","72,810","72,817","72,828","73,716","72,781","72,354","72,262","71,868","72,759"
Males,31,Males - 30 to 34,Males - 30 to 44,"39,749","41,950","43,682","45,543","46,183","47,563","48,972","49,847","51,139","51,499","50,606","51,007","51,817","53,643","55,067","56,655","56,711","56,803","56,685","57,895","60,054","61,287","60,797","61,367","62,056","63,375","66,040","69,273","70,450","71,128","71,906","71,837","72,829","73,782","73,789","73,801","74,688","73,754","73,324","73,242","72,843"
Males,32,Males - 30 to 34,Males - 30 to 44,"38,862","40,531","42,717","44,204","46,126","47,167","48,630","49,876","50,755","51,485","50,246","51,038","52,659","53,178","54,257","55,911","57,521","57,594","57,688","57,584","58,790","60,943","62,166","61,675","62,243","62,941","64,270","66,938","70,170","71,350","72,033","72,816","72,750","73,738","74,686","74,693","74,708","75,593","74,660","74,227","74,155"
Males,33,Males - 30 to 34,Males - 30 to 44,"38,193","39,465","41,148","43,308","44,822","46,973","48,096","49,434","50,708","51,221","50,280","50,735","52,535","53,899","53,759","55,048","56,711","58,343","58,412","58,507","58,418","59,620","61,769","62,982","62,491","63,058","63,762","65,099","67,770","71,001","72,189","72,877","73,665","73,599","74,583","75,529","75,535","75,552","76,437","75,504","75,068"
Males,34,Males - 30 to 34,Males - 30 to 44,"37,870","38,852","40,031","41,609","43,910","45,553","47,815","48,941","50,201","51,120","50,433","50,722","52,079","53,661","54,433","54,484","55,787","57,459","59,092","59,158","59,254","59,178","60,377","62,523","63,727","63,236","63,799","64,508","65,854","68,527","71,761","72,955","73,648","74,439","74,375","75,356","76,298","76,305","76,324","77,207","76,275"
Males,35,Males - 35 to 39,Males - 30 to 44,"37,680","38,499","39,433","40,383","42,084","44,605","46,365","48,662","49,541","50,665","50,302","50,800","51,910","53,078","54,147","55,089","55,155","56,473","58,135","59,768","59,830","59,929","59,866","61,063","63,205","64,401","63,908","64,467","65,181","66,534","69,213","72,448","73,648","74,345","75,140","75,078","76,055","76,995","77,001","77,023","77,905"
Males,36,Males - 35 to 39,Males - 30 to 44,"38,169","38,364","38,984","39,734","40,761","42,667","45,210","47,015","49,221","49,946","50,019","50,647","51,764","52,690","53,411","54,640","55,595","55,673","56,986","58,636","60,267","60,328","60,430","60,380","61,575","63,711","64,898","64,403","64,960","65,678","67,039","69,719","72,951","74,156","74,857","75,655","75,595","76,569","77,507","77,514","77,539"
Males,37,Males - 35 to 39,Males - 30 to 44,"38,994","38,663","38,913","39,260","40,088","41,229","43,094","45,640","47,544","49,655","49,248","50,367","51,484","52,435","52,966","53,830","55,082","56,048","56,123","57,430","59,070","60,699","60,760","60,864","60,828","62,020","64,148","65,326","64,832","65,387","66,110","67,479","70,159","73,388","74,596","75,301","76,102","76,045","77,016","77,951","77,960"
Males,38,Males - 35 to 39,Males - 30 to 44,"39,503","39,536","39,175","39,274","39,636","40,566","41,734","43,454","45,975","47,842","49,141","49,534","51,093","52,078","52,671","53,319","54,208","55,482","56,443","56,516","57,817","59,448","61,075","61,135","61,243","61,219","62,407","64,528","65,698","65,204","65,759","66,488","67,863","70,542","73,768","74,980","75,687","76,491","76,438","77,406","78,339"
Males,39,Males - 35 to 39,Males - 30 to 44,"40,905","39,990","40,089","39,486","39,797","40,052","40,954","42,081","43,715","46,153","47,225","49,185","50,200","51,622","52,291","52,985","53,645","54,558","55,837","56,795","56,865","58,162","59,783","61,409","61,469","61,581","61,566","62,750","64,865","66,026","65,536","66,090","66,824","68,205","70,884","74,106","75,321","76,031","76,838","76,787","77,753"
Males,40,Males - 40 to 44,Males - 30 to 44,"41,606","41,279","40,336","40,460","39,804","40,266","40,501","41,202","42,352","43,735","45,525","47,316","49,782","50,680","51,797","52,572","53,271","53,943","54,865","56,149","57,103","57,171","58,464","60,077","61,700","61,761","61,875","61,869","63,050","65,158","66,314","65,826","66,381","67,119","68,505","71,183","74,401","75,619","76,332","77,141","77,093"
Males,41,Males - 40 to 44,Males - 30 to 44,"40,121","41,955","41,671","40,613","40,822","40,181","40,593","40,649","41,372","42,512","43,073","45,586","47,806","50,158","50,784","51,984","52,775","53,478","54,148","55,077","56,365","57,314","57,382","58,670","60,275","61,896","61,956","62,072","62,075","63,253","65,355","66,505","66,020","66,575","67,317","68,707","71,382","74,594","75,814","76,530","77,341"
Males,42,Males - 40 to 44,Males - 30 to 44,"39,854","40,317","42,208","41,879","40,859","41,176","40,532","40,812","40,733","41,421","41,851","43,123","46,016","48,134","50,233","50,941","52,145","52,950","53,645","54,314","55,249","56,540","57,487","57,554","58,838","60,434","62,051","62,112","62,230","62,242","63,417","65,513","66,658","66,177","66,732","67,477","68,870","71,542","74,748","75,969","76,688"
Males,43,Males - 40 to 44,Males - 30 to 44,"38,438","39,990","40,537","42,359","42,089","41,206","41,349","40,655","40,898","40,751","40,892","41,889","43,502","46,302","48,187","50,359","51,075","52,282","53,089","53,777","54,444","55,386","56,679","57,623","57,690","58,970","60,558","62,171","62,231","62,352","62,373","63,546","65,637","66,777","66,299","66,854","67,602","68,998","71,667","74,866","76,089"
Males,44,Males - 40 to 44,Males - 30 to 44,"36,877","38,579","40,112","40,613","42,423","42,444","41,448","41,413","40,808","40,929","40,241","40,877","42,236","43,764","46,345","48,299","50,474","51,198","52,397","53,207","53,888","54,554","55,501","56,797","57,738","57,806","59,081","60,661","62,270","62,331","62,455","62,485","63,656","65,741","66,876","66,402","66,957","67,708","69,107","71,772","74,966"
Males,45,Males - 45 to 49,Males - 45 to 59,"36,661","37,083","38,766","40,114","40,599","42,583","42,646","41,627","41,418","40,943","40,479","40,153","41,183","42,471","43,794","46,440","48,399","50,577","51,299","52,491","53,303","53,977","54,643","55,596","56,895","57,834","57,901","59,171","60,743","62,348","62,411","62,538","62,576","63,745","65,825","66,956","66,485","67,040","67,794","69,196","71,858"
Males,46,Males - 45 to 49,Males - 45 to 59,"36,814","36,967","37,194","38,838","40,066","40,662","42,912","42,784","41,664","41,334","40,588","40,397","40,389","41,344","42,444","43,828","46,476","48,435","50,606","51,326","52,511","53,325","53,993","54,658","55,615","56,914","57,850","57,916","59,182","60,745","62,347","62,411","62,542","62,587","63,754","65,827","66,953","66,486","67,041","67,797","69,200"
Males,47,Males - 45 to 49,Males - 45 to 59,"37,316","36,946","37,179","37,271","38,897","40,076","40,902","43,077","42,834","41,732","40,817","40,482","40,593","40,529","41,300","42,463","43,849","46,499","48,452","50,616","51,333","52,512","53,327","53,991","54,655","55,615","56,915","57,847","57,913","59,174","60,730","62,329","62,395","62,528","62,580","63,745","65,812","66,934","66,470","67,025","67,784"
Males,48,Males - 45 to 49,Males - 45 to 59,"37,880","37,523","37,033","37,324","37,282","38,988","40,239","40,990","43,114","42,903","41,331","40,668","40,650","40,709","40,481","41,304","42,474","43,864","46,507","48,455","50,612","51,327","52,500","53,317","53,976","54,639","55,602","56,902","57,831","57,897","59,153","60,704","62,299","62,366","62,503","62,561","63,724","65,785","66,903","66,443","66,998"
Males,49,Males - 45 to 49,Males - 45 to 59,"37,974","38,066","37,754","37,048","37,443","37,338","39,087","40,317","40,977","43,171","42,573","41,172","40,814","40,746","40,645","40,477","41,300","42,478","43,864","46,502","48,443","50,594","51,307","52,475","53,293","53,948","54,609","55,575","56,875","57,801","57,867","59,120","60,664","62,256","62,325","62,464","62,529","63,689","65,745","66,859","66,402"
Males,50,Males - 50 to 54,Males - 45 to 59,"37,474","38,069","38,209","37,936","37,072","37,558","37,435","39,088","40,373","41,026","42,855","42,396","41,293","40,892","40,669","40,625","40,466","41,289","42,468","43,849","46,481","48,417","50,562","51,273","52,435","53,255","53,905","54,565","55,533","56,833","57,757","57,824","59,073","60,611","62,200","62,270","62,412","62,484","63,641","65,692","66,802"
Males,51,Males - 50 to 54,Males - 45 to 59,"36,188","37,549","38,109","38,313","38,117","37,145","37,547","37,438","39,072","40,481","40,689","42,712","42,477","41,343","40,794","40,626","40,589","40,439","41,255","42,435","43,812","46,438","48,368","50,506","51,216","52,373","53,194","53,838","54,497","55,468","56,769","57,690","57,758","59,003","60,535","62,120","62,193","62,337","62,415","63,571","65,616"
Males,52,Males - 50 to 54,Males - 45 to 59,"36,310","36,286","37,611","38,126","38,444","38,227","37,287","37,521","37,472","39,104","40,174","40,526","42,763","42,499","41,231","40,736","40,573","40,543","40,396","41,206","42,386","43,759","46,379","48,304","50,436","51,144","52,295","53,116","53,757","54,415","55,388","56,689","57,608","57,677","58,919","60,445","62,026","62,101","62,248","62,332","63,486"
Males,53,Males - 50 to 54,Males - 45 to 59,"34,911","36,248","36,394","37,652","38,148","38,564","38,233","37,362","37,480","37,574","38,692","39,979","40,562","42,766","42,369","41,161","40,674","40,517","40,488","40,343","41,147","42,327","43,697","46,311","48,230","50,355","51,061","52,207","53,029","53,665","54,322","55,298","56,600","57,517","57,586","58,825","60,345","61,923","61,999","62,149","62,239"
Males,54,Males - 50 to 54,Males - 45 to 59,"34,152","34,899","36,178","36,443","37,609","38,169","38,595","38,131","37,408","37,499","37,257","38,427","39,998","40,552","42,623","42,282","41,088","40,608","40,450","40,422","40,280","41,079","42,259","43,625","46,232","48,146","50,264","50,968","52,108","52,931","53,563","54,220","55,198","56,500","57,415","57,485","58,720","60,234","61,809","61,887","62,040"
Males,55,Males - 55 to 59,Males - 45 to 59,"34,174","34,087","34,890","36,077","36,449","37,662","38,145","38,559","38,027","37,512","37,102","36,980","38,436","39,971","40,400","42,518","42,189","41,010","40,531","40,373","40,346","40,207","41,000","42,180","43,542","46,143","48,050","50,161","50,862","51,997","52,821","53,450","54,106","55,087","56,389","57,302","57,373","58,604","60,113","61,683","61,764"
Males,56,Males - 55 to 59,Males - 45 to 59,"32,672","34,130","34,071","34,825","35,971","36,468","37,616","38,030","38,516","38,062","37,180","36,850","36,976","38,389","39,795","40,274","42,396","42,079","40,908","40,432","40,274","40,249","40,113","40,901","42,080","43,438","46,031","47,931","50,034","50,733","51,863","52,688","53,314","53,969","54,951","56,253","57,164","57,237","58,465","59,967","61,533"
Males,57,Males - 55 to 59,Males - 45 to 59,"31,651","32,579","34,073","33,960","34,752","35,879","36,314","37,499","37,974","38,628","37,573","36,893","36,825","36,924","38,205","39,652","40,141","42,267","41,955","40,794","40,320","40,163","40,139","40,007","40,790","41,968","43,321","45,905","47,798","49,893","50,590","51,716","52,541","53,164","53,819","54,803","56,104","57,013","57,087","58,311","59,808"
Males,58,Males - 55 to 59,Males - 45 to 59,"31,282","31,566","32,421","33,970","33,869","34,747","35,783","36,114","37,405","38,022","38,151","37,295","36,852","36,755","36,742","38,057","39,505","40,002","42,126","41,820","40,669","40,198","40,042","40,020","39,891","40,669","41,846","43,194","45,769","47,654","49,741","50,437","51,558","52,384","53,003","53,658","54,643","55,944","56,850","56,927","58,147"
Males,59,Males - 55 to 59,Males - 45 to 59,"30,383","31,200","31,402","32,239","33,832","33,819","34,614","35,596","35,964","37,362","37,575","37,746","37,239","36,769","36,564","36,597","37,907","39,356","39,856","41,977","41,677","40,535","40,068","39,913","39,894","39,769","40,542","41,717","43,060","45,624","47,503","49,581","50,276","51,391","52,218","52,835","53,489","54,475","55,775","56,680","56,758"
Males,60,Males - 60 to 64,Males - 60 to 74,"29,610","30,315","31,079","31,231","32,018","33,802","33,635","34,387","35,499","35,945","36,893","37,227","37,666","37,140","36,569","36,405","36,449","37,753","39,197","39,701","41,818","41,524","40,394","39,930","39,777","39,761","39,639","40,406","41,580","42,917","45,472","47,342","49,412","50,105","51,216","52,043","52,657","53,310","54,298","55,597","56,500"
Males,61,Males - 60 to 64,Males - 60 to 74,"29,076","29,612","30,291","30,967","31,084","31,824","33,620","33,440","34,254","35,620","35,366","36,517","37,144","37,554","36,939","36,410","36,254","36,307","37,601","39,041","39,547","41,660","41,373","40,253","39,794","39,643","39,628","39,510","40,272","41,444","42,776","45,321","47,184","49,244","49,936","51,042","51,870","52,481","53,134","54,123","55,421"
Males,62,Males - 60 to 64,Males - 60 to 74,"28,334","29,036","29,631","30,177","30,817","30,888","31,745","33,291","33,316","34,340","35,048","34,971","36,418","37,015","37,333","36,764","36,244","36,096","36,154","37,437","38,872","39,381","41,489","41,209","40,101","39,646","39,497","39,485","39,370","40,127","41,297","42,625","45,158","47,013","49,064","49,755","50,856","51,684","52,292","52,945","53,935"
Males,63,Males - 60 to 64,Males - 60 to 74,"28,754","28,340","29,024","29,593","30,078","30,660","30,714","31,516","33,084","33,413","33,692","34,690","34,848","36,261","36,771","37,122","36,570","36,060","35,914","35,978","37,250","38,679","39,191","41,293","41,020","39,924","39,474","39,327","39,318","39,207","39,960","41,127","42,449","44,971","46,818","48,859","49,548","50,644","51,472","52,078","52,731"
Males,64,Males - 60 to 64,Males - 60 to 74,"30,053","28,686","28,317","28,953","29,617","30,002","30,451","30,453","31,390","33,103","32,733","33,253","34,514","34,659","35,985","36,526","36,883","36,347","35,842","35,700","35,768","37,029","38,452","38,967","41,062","40,797","39,714","39,268","39,124","39,118","39,012","39,760","40,925","42,241","44,750","46,588","48,619","49,306","50,397","51,225","51,829"
Males,65,Males - 65 to 69,Males - 60 to 74,"25,704","29,934","28,614","28,197","28,866","29,577","29,790","30,158","30,259","31,649","32,308","32,314","33,042","34,277","34,358","35,706","36,252","36,614","36,089","35,589","35,451","35,524","36,775","38,191","38,709","40,796","40,538","39,467","39,028","38,886","38,884","38,782","39,526","40,688","41,998","44,494","46,322","48,342","49,028","50,114","50,942"
Males,66,Males - 65 to 69,Males - 60 to 74,"24,024","25,512","29,788","28,486","28,087","28,774","29,279","29,393","29,835","30,373","30,917","31,867","32,053","32,767","33,927","34,044","35,388","35,937","36,300","35,787","35,294","35,160","35,239","36,477","37,887","38,407","40,484","40,234","39,178","38,745","38,607","38,608","38,512","39,251","40,410","41,714","44,195","46,012","48,021","48,705","49,786"
Males,67,Males - 65 to 69,Males - 60 to 74,"22,867","23,817","25,339","29,603","28,317","27,997","28,462","28,865","29,073","29,893","29,688","30,430","31,554","31,740","32,395","33,570","33,699","35,037","35,586","35,949","35,449","34,962","34,833","34,917","36,145","37,546","38,068","40,135","39,893","38,852","38,426","38,292","38,297","38,207","38,941","40,096","41,392","43,858","45,665","47,661","48,344"
Males,68,Males - 65 to 69,Males - 60 to 74,"20,819","22,652","23,543","25,110","29,328","28,146","27,688","28,077","28,490","29,024","29,228","29,226","30,091","31,204","31,344","32,021","33,188","33,328","34,657","35,205","35,569","35,081","34,602","34,477","34,567","35,783","37,175","37,699","39,754","39,521","38,496","38,077","37,947","37,957","37,872","38,602","39,752","41,041","43,490","45,285","47,268"
Males,69,Males - 65 to 69,Males - 60 to 74,"20,810","20,552","22,389","23,246","24,856","29,087","27,807","27,245","27,797","28,395","28,363","28,722","28,872","29,728","30,784","30,952","31,629","32,789","32,936","34,255","34,802","35,166","34,691","34,220","34,101","34,196","35,400","36,783","37,308","39,350","39,125","38,117","37,706","37,581","37,595","37,516","38,241","39,386","40,667","43,099","44,882"
Males,70,Males - 70 to 74,Males - 60 to 74,"19,382","20,493","20,327","22,092","22,950","24,622","28,687","27,436","26,868","27,693","27,712","27,790","28,339","28,491","29,298","30,365","30,541","31,217","32,366","32,520","33,827","34,373","34,738","34,276","33,815","33,701","33,801","34,992","36,365","36,891","38,919","38,704","37,713","37,311","37,191","37,209","37,136","37,856","38,996","40,269","42,681"
Males,71,Males - 70 to 74,Males - 60 to 74,"18,660","19,106","20,193","20,004","21,793","22,658","24,190","28,206","27,042","26,638","26,993","27,184","27,397","27,945","28,064","28,881","29,941","30,126","30,799","31,935","32,097","33,393","33,937","34,302","33,855","33,402","33,294","33,400","34,578","35,941","36,468","38,481","38,275","37,302","36,908","36,793","36,817","36,749","37,465","38,598","39,863"
Males,72,Males - 70 to 74,Males - 60 to 74,"17,803","18,303","18,792","19,880","19,669","21,480","22,227","23,675","27,662","26,793","25,968","26,338","26,756","26,973","27,487","27,625","28,437","29,490","29,679","30,349","31,472","31,641","32,925","33,467","33,833","33,399","32,957","32,855","32,966","34,131","35,482","36,010","38,007","37,811","36,856","36,472","36,362","36,391","36,330","37,040","38,167"
Males,73,Males - 70 to 74,Males - 60 to 74,"16,676","17,396","17,901","18,438","19,536","19,329","20,994","21,773","23,135","27,260","26,138","25,313","25,876","26,295","26,487","27,014","27,157","27,964","29,004","29,199","29,864","30,974","31,149","32,420","32,960","33,327","32,907","32,475","32,379","32,495","33,647","34,986","35,514","37,493","37,307","36,371","35,998","35,894","35,928","35,873","36,579"
Males,74,Males - 70 to 74,Males - 60 to 74,"15,856","16,288","16,959","17,517","18,106","19,198","18,861","20,486","21,269","22,816","26,544","25,493","24,821","25,384","25,778","25,986","26,512","26,661","27,458","28,486","28,685","29,345","30,441","30,623","31,878","32,417","32,783","32,378","31,958","31,869","31,991","33,128","34,453","34,982","36,940","36,764","35,849","35,487","35,390","35,429","35,382"
Males,75,Males - 75 to 79,Males - 75 and over,"14,888","15,441","15,910","16,560","17,079","17,694","18,715","18,395","19,914","20,879","22,156","25,932","24,940","24,298","24,838","25,242","25,453","25,978","26,130","26,917","27,932","28,135","28,790","29,870","30,058","31,298","31,833","32,200","31,810","31,402","31,321","31,448","32,571","33,881","34,408","36,344","36,179","35,287","34,936","34,846","34,891"
Males,76,Males - 75 to 79,Males - 75 and over,"13,758","14,544","15,039","15,422","16,088","16,628","17,191","18,198","17,812","19,469","20,282","21,551","25,298","24,349","23,718","24,261","24,665","24,880","25,400","25,556","26,332","27,331","27,539","28,187","29,250","29,444","30,666","31,198","31,563","31,190","30,796","30,723","30,855","31,962","33,255","33,782","35,692","35,538","34,670","34,332","34,250"
Males,77,Males - 75 to 79,Males - 75 and over,"13,217","13,312","14,123","14,605","14,973","15,583","16,127","16,675","17,592","17,346","18,784","19,650","20,970","24,632","23,708","23,111","23,650","24,052","24,268","24,784","24,942","25,706","26,689","26,901","27,541","28,587","28,786","29,988","30,516","30,881","30,524","30,145","30,081","30,219","31,309","32,583","33,108","34,990","34,848","34,005","33,681"
Males,78,Males - 75 to 79,Males - 75 and over,"12,284","12,737","12,831","13,658","14,149","14,430","15,044","15,544","16,098","17,043","16,694","18,130","19,061","20,357","23,915","23,035","22,464","22,997","23,395","23,614","24,123","24,285","25,036","26,001","26,216","26,848","27,875","28,078","29,258","29,781","30,145","29,807","29,444","29,388","29,532","30,603","31,858","32,381","34,232","34,102","33,286"
Males,79,Males - 75 to 79,Males - 75 and over,"11,495","11,784","12,252","12,330","13,149","13,601","13,855","14,505","14,936","15,569","16,365","16,007","17,515","18,433","19,692","23,150","22,308","21,766","22,291","22,685","22,904","23,407","23,571","24,308","25,253","25,471","26,094","27,099","27,307","28,463","28,981","29,344","29,024","28,678","28,632","28,781","29,833","31,066","31,585","33,401","33,285"
Males,80,Males - 80 to 84,Males - 75 and over,"11,526","10,964","11,255","11,750","11,767","12,641","12,999","13,331","13,928","14,389","14,869","15,701","15,388","16,859","17,754","18,977","22,322","21,521","21,007","21,522","21,911","22,132","22,626","22,793","23,514","24,437","24,657","25,270","26,251","26,462","27,593","28,105","28,467","28,167","27,840","27,803","27,958","28,987","30,195","30,710","32,488"
Males,81,Males - 80 to 84,Males - 75 and over,"10,872","10,956","10,382","10,715","11,154","11,199","12,008","12,403","12,738","13,361","13,721","14,154","15,012","14,736","16,162","17,031","18,213","21,435","20,676","20,192","20,696","21,078","21,299","21,785","21,955","22,658","23,556","23,779","24,379","25,335","25,551","26,653","27,157","27,517","27,238","26,930","26,905","27,064","28,069","29,249","29,759"
Males,82,Males - 80 to 84,Males - 75 and over,"9,809","10,254","10,301","9,845","10,128","10,539","10,559","11,336","11,766","12,110","12,655","12,964","13,437","14,276","14,036","15,405","16,244","17,379","20,465","19,751","19,299","19,790","20,166","20,386","20,861","21,033","21,717","22,588","22,813","23,399","24,327","24,546","25,616","26,112","26,469","26,213","25,926","25,911","26,076","27,053","28,202"
Males,83,Males - 80 to 84,Males - 75 and over,"8,999","9,212","9,583","9,617","9,282","9,495","9,874","9,885","10,596","11,140","11,414","11,915","12,208","12,678","13,496","13,279","14,584","15,387","16,471","19,408","18,742","18,323","18,801","19,167","19,387","19,850","20,024","20,686","21,527","21,754","22,324","23,219","23,442","24,476","24,962","25,315","25,081","24,817","24,814","24,983","25,930"
Males,84,Males - 80 to 84,Males - 75 and over,"8,046","8,330","8,575","8,906","8,915","8,689","8,806","9,257","9,259","9,919","10,385","10,661","11,115","11,416","11,879","12,655","12,461","13,697","14,460","15,487","18,261","17,646","17,264","17,724","18,081","18,300","18,749","18,925","19,562","20,370","20,597","21,149","22,009","22,233","23,227","23,701","24,048","23,840","23,600","23,608","23,782"
Males,85,Males - 85 to 89,Males - 75 and over,"7,175","7,364","7,678","7,855","8,177","8,230","7,984","8,146","8,516","8,596","9,157","9,608","9,839","10,284","10,589","11,025","11,755","11,585","12,744","13,464","14,429","17,027","16,466","16,121","16,564","16,909","17,125","17,559","17,737","18,347","19,117","19,343","19,875","20,695","20,920","21,868","22,327","22,668","22,485","22,271","22,291"
Males,86,Males - 85 to 89,Males - 75 and over,"6,004","6,536","6,736","6,999","7,117","7,476","7,448","7,238","7,403","7,769","7,875","8,333","8,759","8,994","9,425","9,711","10,120","10,798","10,650","11,724","12,396","13,296","15,703","15,198","14,892","15,314","15,646","15,860","16,276","16,455","17,034","17,761","17,984","18,491","19,267","19,490","20,387","20,830","21,162","21,005","20,818"
